Date,Close,Open,High,Low,Vol.
12/31/2021,177.57,178.09,179.23,177.26,64.06M
12/30/2021,178.2,179.47,180.57,178.09,59.77M
12/29/2021,179.38,179.33,180.63,178.14,62.35M
12/28/2021,179.29,180.16,181.33,178.53,79.14M
12/27/2021,180.33,177.09,180.42,177.07,74.92M
12/23/2021,176.28,175.85,176.85,175.27,68.36M
12/22/2021,175.64,173.04,175.86,172.15,92.14M
12/21/2021,172.99,171.56,173.2,169.12,91.19M
12/20/2021,169.75,168.28,170.58,167.46,107.50M
12/17/2021,171.14,169.93,173.47,169.69,195.92M
12/16/2021,172.26,179.28,181.14,170.75,150.19M
12/15/2021,179.3,175.11,179.5,172.31,131.06M
12/14/2021,174.33,175.25,177.74,172.21,139.38M
12/13/2021,175.74,181.12,182.13,175.53,153.24M
12/10/2021,179.45,175.21,179.63,174.69,115.40M
12/09/2021,174.56,174.91,176.75,173.92,108.92M
12/08/2021,175.08,172.12,175.96,170.7,117.00M
12/07/2021,171.18,169.08,171.58,168.34,120.41M
12/06/2021,165.32,164.29,167.88,164.28,107.50M
12/03/2021,161.84,164.02,164.96,159.72,118.02M
12/02/2021,163.76,158.74,164.2,157.8,136.74M
12/01/2021,164.77,167.48,170.3,164.53,152.42M
11/30/2021,165.3,159.99,165.52,159.92,174.05M
11/29/2021,160.24,159.37,161.19,158.79,88.75M
11/26/2021,156.81,159.56,160.45,156.36,76.96M
11/24/2021,161.94,160.75,162.14,159.64,69.46M
11/23/2021,161.41,161.12,161.8,159.06,96.04M
11/22/2021,161.02,161.68,165.7,161,117.47M
11/19/2021,160.55,157.65,161.02,156.53,117.31M
11/18/2021,157.87,153.71,158.67,153.05,137.83M
11/17/2021,153.49,151,155,150.99,88.81M
11/16/2021,151,149.94,151.49,149.34,59.26M
11/15/2021,150,150.37,151.88,149.43,59.22M
11/12/2021,149.99,148.43,150.4,147.48,63.80M
11/11/2021,147.87,148.96,149.43,147.68,41.00M
11/10/2021,147.92,150.02,150.13,147.85,65.19M
11/09/2021,150.81,150.2,151.43,150.06,56.79M
