Date,Close,Open,High,Low,Vol.
2024-12-30,53200,53300,54000,53100,12624702
2024-12-27,53700,53500,54100,53200,10747196
2024-12-26,53600,54500,54600,53500,10517075
2024-12-24,54400,53700,54500,53600,11634677
2024-12-23,53500,53400,54000,53300,13672650
2024-12-20,53000,52700,53100,51900,24674774
2024-12-19,53100,53500,53800,53100,22481925
2024-12-18,54900,54100,55400,54000,13698937
2024-12-17,54200,54700,55200,54000,20215230
2024-12-16,55600,56300,56600,55200,15277277
2024-12-13,56100,55800,56300,55500,15908823
2024-12-12,55900,54000,56500,53900,33476698
2024-12-11,54000,53600,54200,53400,14565947
2024-12-10,54000,54500,54500,53700,20783970
2024-12-09,53400,53500,54600,53200,26227680
2024-12-06,54100,53900,54400,52700,22861874
2024-12-05,53700,53200,54400,53200,23588277
2024-12-04,53100,52000,53400,52000,29004766
2024-12-03,53600,53100,54400,53100,23374603
2024-12-02,53600,54300,54400,53100,22044867
2024-11-29,54200,55100,55300,53800,24513531
2024-11-28,55500,56000,56400,55200,20001134
2024-11-27,56300,57700,57800,56000,21808387
2024-11-26,58300,57900,58900,57500,23209405
2024-11-25,57900,57400,57900,56700,36237325
2024-11-22,56000,56000,56700,55900,15281543
2024-11-21,56400,54900,56900,54700,19096850
2024-11-20,55300,56100,56500,54800,20864667
2024-11-19,56300,56500,57500,55900,31539632
2024-11-18,56700,57000,57500,55900,48095234
2024-11-15,53500,50300,54200,50300,46774485
2024-11-14,49900,50200,51800,49900,48510715
2024-11-13,50600,52000,53000,50500,52527995
2024-11-12,53000,54600,54600,53000,37962881
2024-11-11,55000,56700,56800,55000,29811326
2024-11-08,57000,58000,58300,57000,13877396
2024-11-07,57500,56900,58100,56800,17043102
2024-11-06,57300,57600,58000,56300,22092218
2024-11-05,57600,57800,58100,57200,17484474
2024-11-04,58700,58600,59400,58400,15586947
2024-11-01,58300,59000,59600,58100,19083180
2024-10-31,59200,58500,61200,58300,35809196
2024-10-30,59100,59100,59800,58600,19838511
2024-10-29,59600,58000,59600,57300,28369314
2024-10-28,58100,55700,58500,55700,27775009
2024-10-25,55900,56000,56900,55800,25829315
2024-10-24,56600,58200,58500,56600,31499922
2024-10-23,59100,57500,60000,57100,27300780
2024-10-22,57700,58800,58900,57700,27582527
2024-10-21,59000,59000,59600,58500,18514905
2024-10-18,59200,59900,60100,59100,14420260
2024-10-17,59700,59400,60100,59100,23372873
2024-10-16,59500,59400,60000,59200,23303268
2024-10-15,61000,61100,61400,60100,22715239
2024-10-14,60800,59500,61200,59400,20886249
2024-10-11,59300,59100,60100,59000,29623969
2024-10-10,58900,60100,60200,58900,45262214
2024-10-08,60300,60000,61000,59900,27411786
2024-10-07,61000,60200,61900,59500,35066533
2024-10-04,60600,61000,61700,60500,24247578
2024-10-02,61300,60500,61900,59900,28473536
2024-09-30,61500,64200,64300,61500,32694163
2024-09-27,64200,64700,65400,64200,28433030
2024-09-26,64700,63900,64900,63700,37566015
2024-09-25,62200,63800,64200,62200,28652438
2024-09-24,63200,62800,63400,62400,26957500
2024-09-23,62600,62300,63500,62200,28542376
2024-09-20,63000,63800,64700,63000,32746056
2024-09-19,63100,64000,64400,62200,49402713
2024-09-13,64400,65000,65500,64300,25045135
2024-09-12,66300,66000,66600,65200,35884106
2024-09-11,64900,65100,65500,64200,35809707
2024-09-10,66200,67000,67300,66000,30651376
2024-09-09,67500,66900,68200,66600,23263298
2024-09-06,68900,69100,69700,68000,19022299
2024-09-05,69000,70100,71200,69000,25686769
2024-09-04,70000,69800,71100,69800,27366563
2024-09-03,72500,74100,74300,72500,16314599
2024-09-02,74400,74500,74700,73500,12641376
2024-08-30,74300,74400,75000,74100,16358520
2024-08-29,74000,73600,74700,73500,16884479
2024-08-28,76400,75800,76400,75400,9794514
2024-08-27,75800,75700,76500,75600,11130145
2024-08-26,76100,78100,78200,76000,15655938
2024-08-23,77700,77700,78400,77500,9420306
2024-08-22,78300,78700,78900,77800,8149101
2024-08-21,78300,77900,78600,77800,7805598
2024-08-20,78900,79500,79800,78700,10683836
2024-08-19,78300,80100,80100,78000,14146565
2024-08-16,80200,79400,80200,78700,22061478
2024-08-14,77200,77400,77800,77000,13246168
2024-08-13,76100,76500,76600,75500,10716261
2024-08-12,75500,75200,75900,74800,9839259
2024-08-09,74700,75700,75800,74200,16388222
2024-08-08,73400,73200,73900,72500,28414729
2024-08-07,74700,73000,76000,72800,32710428
2024-08-06,72500,74900,75300,72300,47295226
2024-08-05,71400,76700,76900,70200,54608790
2024-08-02,79600,81000,81400,79500,25800275
2024-08-01,83100,86000,86100,83100,20900338
2024-07-31,83900,81200,83900,80900,20744323
2024-07-30,81000,80400,81000,80000,13169636
2024-07-29,81200,81600,82000,81100,12797136
2024-07-26,80900,80700,81300,80400,14508334
2024-07-25,80400,80400,81000,80100,20323811
2024-07-24,82000,82900,83300,81900,16939083
2024-07-23,83900,84200,84700,83400,15766389
2024-07-22,83000,84400,84900,82600,18987560
2024-07-19,84400,85600,86100,84100,18569122
2024-07-18,86900,83800,86900,83800,24721790
2024-07-17,86700,87100,88000,86400,18186490
2024-07-16,87700,86900,88000,86700,16166688
2024-07-15,86700,84700,87300,84100,25193080
2024-07-12,84400,85900,86100,84100,26344386
2024-07-11,87600,88500,88800,86700,24677608
2024-07-10,87800,87600,88000,87100,17813847
2024-07-09,87800,87800,88200,86900,21336201
2024-07-08,87400,87900,88600,86900,24035809
2024-07-05,87100,85600,87100,85200,45791193
2024-07-04,84600,82900,84700,82400,43857229
2024-07-03,81800,82300,82300,81000,11440328
2024-07-02,81800,82500,82600,81500,14471904
2024-07-01,81800,81500,82100,81300,11317202
2024-06-28,81500,81900,81900,80800,9455929
2024-06-27,81600,81300,81600,80500,11739720
2024-06-26,81300,80100,81400,79900,17783242
2024-06-25,80800,80600,81800,80100,19088458
2024-06-24,80600,79700,80900,79500,15454227
2024-06-21,80000,80700,80800,80000,17907523
2024-06-20,81600,81500,82200,81200,20288913
2024-06-19,81200,81100,82500,80500,24168863
2024-06-18,79800,78700,80200,78600,18207598
2024-06-17,78100,79200,79500,78000,16123051
2024-06-14,79600,79700,80500,79000,22926612
2024-06-13,78600,78400,79000,77800,33763804
2024-06-12,76500,75300,77100,75200,19246725
2024-06-11,75200,75900,76000,75100,16971175
2024-06-10,75700,76100,76600,75600,14598755
2024-06-07,77300,78400,78600,77100,21189349
2024-06-05,77400,78000,78000,76800,23177968
2024-06-04,75300,74900,76100,74900,14098053
2024-06-03,75700,74400,76400,74200,15706268
2024-05-31,73500,74500,74700,73500,26198776
2024-05-30,73500,74800,75200,73500,28551273
2024-05-29,75200,77700,78200,75200,30244875
2024-05-28,77600,76500,78000,76200,18539072
2024-05-27,77200,75300,78200,74000,43825202
2024-05-24,75900,76800,77000,75700,27891278
2024-05-23,78300,77700,79100,77100,18728087
2024-05-22,77700,78100,78700,77300,19521506
2024-05-21,78400,78500,79000,78200,13690583
2024-05-20,78900,78100,79100,77900,19456783
2024-05-17,77400,78600,78800,77200,15918201
2024-05-16,78200,80200,80300,78100,20989778
2024-05-14,78300,78600,78800,77900,11763992
2024-05-13,78400,79400,79900,77600,18652344
2024-05-10,79200,80400,81100,78900,16976124
2024-05-09,79700,81100,81500,79700,18759935
2024-05-08,81300,80800,81400,80500,13089576
2024-05-07,81300,79600,81300,79400,26238868
2024-05-03,77600,79000,79000,77500,13151889
2024-05-02,78000,77600,78600,77300,18900640
