Date,Product,Company,Category,Type
2021-04-20,iPad Pro 5,Apple,Unknown,Unknown
2021-09-14,iPad 9,Apple,Unknown,Unknown
2021-09-14,iPhone 13 Pro,Apple,Unknown,Unknown
2021-09-14,iPhone 13 Pro Max,Apple,Unknown,Unknown
2021-09-15,iPad mini 6,Apple,Unknown,Unknown
2021-09-15,iPhone 13,Apple,Unknown,Unknown
2021-09-15,iPhone 13 mini,Apple,Unknown,Unknown
2021-10-15,watch series 7,Apple,Unknown,Unknown
2021-10-18,AirPods 3,Apple,Unknown,Unknown
2021-10-26,"MacBook Pro 14"" (M1 Pro)",Apple,Unknown,Unknown
2022-03-08,iPhone SE,Apple,Unknown,Unknown
2022-03-08,iPad Air 5,Apple,Unknown,Unknown
2022-03-08,iPhone 13 new color,Apple,Unknown,Unknown
2022-06-06,"MacBook Air 13.6""",Apple,Unknown,Unknown
2022-09-07,iPhone 14 Pro,Apple,Unknown,Unknown
2022-09-07,iPhone 14 Pro Max,Apple,Unknown,Unknown
2022-09-16,watch ultra 1,Apple,Unknown,Unknown
2022-09-16,iPhone 14,Apple,Unknown,Unknown
2022-09-16,watch SE 2,Apple,Unknown,Unknown
2022-09-16,watch series 8,Apple,Unknown,Unknown
2022-09-23,AirPods Pro 2,Apple,Unknown,Unknown
2022-10-07,iPhone 14 Plus,Apple,Unknown,Unknown
2022-10-18,iPad Pro 6,Apple,Unknown,Unknown
2022-10-26,iPad 10,Apple,Unknown,Unknown
2023-06-05,"MacBook Air 15.3""",Apple,Unknown,Unknown
2023-06-05,Vision Pro,Apple,Unknown,Unknown
2023-09-12,watch series 9,Apple,Unknown,Unknown
2023-09-12,watch ultra 2,Apple,Unknown,Unknown
2023-09-22,iPhone 15,Apple,Unknown,Unknown
2023-09-22,iPhone 15 Plus,Apple,Unknown,Unknown
2023-09-22,iPhone 15 Pro,Apple,Unknown,Unknown
2023-09-22,iPhone 15 Pro Max,Apple,Unknown,Unknown
2023-11-07,"MacBook Pro 14"" (M3)",Apple,Unknown,Unknown
2024-03-04,"MacBook Air 13""",Apple,Unknown,Unknown
2024-05-07,iPad Air 6,Apple,Unknown,Unknown
2024-05-15,iPad Pro 7,Apple,Unknown,Unknown
2024-09-09,iPhone 16,Apple,Unknown,Unknown
2024-09-09,iPhone 16 Plus,Apple,Unknown,Unknown
2024-09-09,iPhone 16 Pro,Apple,Unknown,Unknown
2024-09-09,iPhone 16 Pro Max,Apple,Unknown,Unknown
2024-09-10,AirPods 4,Apple,Unknown,Unknown
2024-10-23,iPad mini 7,Apple,Unknown,Unknown
2024-10-29,Mac mini,Apple,Unknown,Unknown
2024-10-30,"MacBook Pro 14"" (M4)",Apple,Unknown,Unknown
