Date,Product,Company,Category,Type
2021-01-01,Galaxy Book Flex2,Samsung,Unknown,Unknown
2021-01-03,Galaxy S21 FE,Samsung,Unknown,Unknown
2021-01-13,Galaxy A32,Samsung,Unknown,Unknown
2021-01-14,Galaxy S21,Samsung,Unknown,Unknown
2021-01-14,Galaxy S21 Ultra,Samsung,Unknown,Unknown
2021-01-14,Galaxy S21+,Samsung,Unknown,Unknown
2021-03-12,Galaxy A42,Samsung,Unknown,Unknown
2021-03-17,Galaxy A52,Samsung,Unknown,Unknown
2021-03-17,Galaxy A72,Samsung,Unknown,Unknown
2021-04-23,Galaxy Quantum 2 (Galaxy A82),Samsung,Unknown,Unknown
2021-05-25,Galaxy Tab S7 FE,Samsung,Unknown,Unknown
2021-05-30,Galaxy A03s,Samsung,Unknown,Unknown
2021-06-18,Galaxy Tab A7 LITE,Samsung,Unknown,Unknown
2021-08-11,Galaxy Z Fold 3,Samsung,Unknown,Unknown
2021-08-27,Galaxy Watch4,Samsung,Unknown,Unknown
2021-08-27,Galaxy Z Flip 3,Samsung,Unknown,Unknown
2021-09-03,Galaxy A52s 5G,Samsung,Unknown,Unknown
2022-01-10,Galaxy A03,Samsung,Unknown,Unknown
2022-01-17,Galaxy Tab A8,Samsung,Unknown,Unknown
2022-02-10,Galaxy Tab S8+,Samsung,Unknown,Unknown
2022-02-10,Galaxy Tab S8 Ultra,Samsung,Unknown,Unknown
2022-02-10,Galaxy Tab S8,Samsung,Unknown,Unknown
2022-02-10,Galaxy S22,Samsung,Unknown,Unknown
2022-02-10,Galaxy S22 Ultra,Samsung,Unknown,Unknown
2022-02-10,Galaxy S22+,Samsung,Unknown,Unknown
2022-03-17,Galaxy A33 5G,Samsung,Unknown,Unknown
2022-03-17,Galaxy A53 5G,Samsung,Unknown,Unknown
2022-03-17,Galaxy A53 5G,Samsung,Unknown,Unknown
2022-03-17,Galaxy A73 5G,Samsung,Unknown,Unknown
2022-03-25,Galaxy A23,Samsung,Unknown,Unknown
2022-04-01,Galaxy Book2,Samsung,Unknown,Unknown
2022-04-01,Galaxy Book2 Pro,Samsung,Unknown,Unknown
2022-04-01,Galaxy Book2 Pro 360,Samsung,Unknown,Unknown
2022-04-07,Galaxy Quantum 3 (Galaxy M53 5G),Samsung,Unknown,Unknown
2022-04-22,Galaxy jump 2 (Galaxy M33 5G),Samsung,Unknown,Unknown
2022-07-22,Galaxy A13,Samsung,Unknown,Unknown
2022-08-10,Galaxy Z Fold 4,Samsung,Unknown,Unknown
2022-08-10,Galaxy Z Flip 4,Samsung,Unknown,Unknown
2022-08-24,Galaxy A04,Samsung,Unknown,Unknown
2022-08-26,Galaxy Watch5,Samsung,Unknown,Unknown
2022-08-31,Galaxy A04s,Samsung,Unknown,Unknown
2022-09-02,Galaxy wide 6,Samsung,Unknown,Unknown
2022-10-21,Galaxy A04e,Samsung,Unknown,Unknown
2023-01-04,Galaxy A14,Samsung,Unknown,Unknown
2023-02-02,Galaxy S23,Samsung,Unknown,Unknown
2023-02-02,Galaxy S23 Ultra,Samsung,Unknown,Unknown
2023-02-02,Galaxy S23+,Samsung,Unknown,Unknown
2023-02-28,Galaxy A14 4G,Samsung,Unknown,Unknown
2023-03-15,Galaxy Quantum 4 (Galaxy A54 5G),Samsung,Unknown,Unknown
2023-03-15,Galaxy A32 5G,Samsung,Unknown,Unknown
2023-07-26,Galaxy Tab S9,Samsung,Unknown,Unknown
2023-07-26,Galaxy Tab S9 FE,Samsung,Unknown,Unknown
2023-07-26,Galaxy Tab S9 FE+,Samsung,Unknown,Unknown
2023-07-26,Galaxy Tab S9 Ultra,Samsung,Unknown,Unknown
2023-07-26,Galaxy Tab S9+,Samsung,Unknown,Unknown
2023-07-26,Galaxy Z Flip 5,Samsung,Unknown,Unknown
2023-07-26,Galaxy Z Fold 5,Samsung,Unknown,Unknown
2023-08-11,Galaxy Buds 2,Samsung,Unknown,Unknown
2023-08-11,Galaxy Watch6,Samsung,Unknown,Unknown
2023-10-23,Galaxy Tab A9,Samsung,Unknown,Unknown
2023-11-02,Galaxy Tab A9+,Samsung,Unknown,Unknown
2024-01-02,Galaxy Book4,Samsung,Unknown,Unknown
2024-01-02,Galaxy Book4 Pro,Samsung,Unknown,Unknown
2024-01-02,Galaxy Book4 Pro 360,Samsung,Unknown,Unknown
2024-01-02,Galaxy Book4 Pro Ultra,Samsung,Unknown,Unknown
2024-01-17,Galaxy S24,Samsung,Unknown,Unknown
2024-01-17,Galaxy S24 FE,Samsung,Unknown,Unknown
2024-01-17,Galaxy S24 Ultra,Samsung,Unknown,Unknown
2024-01-17,Galaxy S24+,Samsung,Unknown,Unknown
2024-04-03,Galaxy Fit 3,Samsung,Unknown,Unknown
2024-06-21,Galaxy A35 5G,Samsung,Unknown,Unknown
2024-06-24,Galaxy Watch FE,Samsung,Unknown,Unknown
2024-07-10,Galaxy Z Flip 6,Samsung,Unknown,Unknown
2024-07-24,Galaxy Buds 3,Samsung,Unknown,Unknown
2024-07-24,Galaxy Watch Ultra,Samsung,Unknown,Unknown
2024-07-24,Galaxy Watch7,Samsung,Unknown,Unknown
2024-07-31,Galaxy Z Fold 6,Samsung,Unknown,Unknown
2024-08-28,Galaxy Quantum 5 (Galaxy A55 5G),Samsung,Unknown,Unknown
2024-10-04,Galaxy Tab S10,Samsung,Unknown,Unknown
2024-10-28,Galaxy Book5 Pro 360,Samsung,Unknown,Unknown
