Date,Close,Open,High,Low,Vol.
12/30/2022,129.93,128.41,129.95,127.43,77.03M
12/29/2022,129.61,127.99,130.48,127.73,75.70M
12/28/2022,126.04,129.67,131.03,125.87,85.44M
12/27/2022,130.03,131.38,131.41,128.72,69.01M
12/23/2022,131.86,130.92,132.41,129.64,63.81M
12/22/2022,132.23,134.35,134.56,130.3,77.85M
12/21/2022,135.45,132.98,136.81,132.75,85.93M
12/20/2022,132.3,131.39,133.25,129.89,77.43M
12/19/2022,132.37,135.11,135.2,131.32,79.59M
12/16/2022,134.51,136.68,137.65,133.73,160.16M
12/15/2022,136.5,141.11,141.8,136.02,98.93M
12/14/2022,143.21,145.35,146.65,141.16,82.29M
12/13/2022,145.47,149.5,149.97,144.24,93.89M
12/12/2022,144.49,142.7,144.5,141.06,70.46M
12/09/2022,142.16,142.34,145.57,140.9,76.10M
12/08/2022,142.65,142.36,143.52,141.1,62.13M
12/07/2022,140.94,142.19,143.37,140,69.72M
12/06/2022,142.91,147.07,147.3,141.92,64.73M
12/05/2022,146.63,147.77,150.92,145.77,68.83M
12/02/2022,147.81,145.96,148,145.65,65.45M
12/01/2022,148.31,148.21,149.13,146.61,71.25M
11/30/2022,148.03,141.4,148.72,140.55,111.38M
11/29/2022,141.17,144.29,144.81,140.35,83.76M
11/28/2022,144.22,145.14,146.64,143.38,69.35M
11/25/2022,148.11,148.3,148.88,147.12,35.20M
11/23/2022,151.07,149.45,151.83,149.34,58.30M
11/22/2022,150.18,148.13,150.42,146.93,51.80M
11/21/2022,148.01,150.16,150.37,147.71,58.72M
11/18/2022,151.29,152.3,152.7,149.97,74.83M
11/17/2022,150.72,146.43,151.48,146.15,80.39M
11/16/2022,148.79,149.13,149.87,147.29,64.22M
11/15/2022,150.04,152.21,153.59,148.56,89.87M
11/14/2022,148.28,148.97,150.28,147.43,73.37M
11/11/2022,149.7,145.82,150.01,144.37,93.98M
11/10/2022,146.87,141.24,146.87,139.5,118.85M
11/09/2022,134.87,138.5,138.55,134.59,74.92M
11/08/2022,139.5,140.41,141.43,137.49,89.91M
11/07/2022,138.92,137.11,139.15,135.67,83.37M
11/04/2022,138.38,142.09,142.67,134.38,140.81M
11/03/2022,138.88,142.06,142.8,138.75,97.92M
